Airport,"AIRLINE
OPERATOR",NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,TOTAL
Baguio,pal,,,34,32,36,30,20,16,14,8,22,24,236
Laoag (Int'l.),pal,2,18,,,,,,,,,,,20
Laoag  (Dom. ),cebu,,,,,,,,54,54,58,60,62,288
Laoag  (Dom. ),palex,100,32,2,,,,,,,,,,134
Laoag  (Dom. ),pal,4,56,100,96,98,110,136,116,108,122,84,80,1110
Laoag  (Dom. ),glen gorospe,22,,,,,,,,,,,,22
Vigan,Platinum skies,24,32,28,28,4,,,,,,,12,128
Vigan,leading edge aviation,,,,,,,824,1268,5565,1032,672,2264,11625
Vigan,alpha group aviation,,,,,,,1860,840,1228,680,1700,1740,8048
Vigan,wcc aviation,,,,,,,,52,32,84,120,88,376
Vigan,fly fast aviation,,,,,,,,412,156,190,352,340,1450
Bagabag,wcc/skypasada,,,,,10,2,,4,,,,,16
Bagabag,Echo Air,,,14,,6,4,10,,24,,,,58
Bagabag,Cyclone,,,2,,6,,,,,,,,8
Basco,palex,60,55,58,46,62,64,6,71,56,48,59,56,641
Basco,leading edge,,,,,,16,10,,,,,,26
Basco,skypasada,64,86,80,54,90,82,94,80,67,74,70,54,895
Basco,aats,,,,,,,,,,52,,64,116
Basco,northsky,,,,14,4,20,6,,,,,,44
Basco,fliteline,72,51,,12,100,78,38,77,85,94,105,89,801
Basco,aerospeed,,,,,,,,,,,35,,35
Basco,pamas,,2,,2,,,6,,2,,,,12
Cauayan,Cebu Pacific,58,58,60,74,60,60,56,58,56,54,56,60,710
Cauayan,Echo Air,66,2,38,2,30,22,12,12,24,,,,208
Cauayan,North Sky Air,,,,,,,,,,,,2,2
Cauayan,wcc,148,164,92,84,124,154,162,93,54,240,163,178,1656
Cauayan,Cyclone Airways,179,112,134,118,264,258,208,205,6,,,,1484
Cauayan,aaop,,,,,,,,328,250,252,175,184,1189
Cauayan,fliteline,,,,,,,,4,150,152,163,154,623
Cauayan,Cyclone Flying,8,32,54,110,210,14,,,,,,,428
Itbayat,fliteline,,,,,,,,74,74,84,98,84,414
Itbayat,aats,,,,,,,,,32,54,36,62,184
Palanan,wcc/skypasada,86,152,86,80,104,108,106,80,60,142,114,126,1244
Palanan,fliteline,,,,,,,,,76,70,84,58,288
Palanan,cyclone,88,82,94,104,180,144,106,68,,,,,866
Palanan,aaop,,,,,,,,206,162,210,154,168,900
Tuguegarao (Dom.),pal,,,,,,,,,,,,6,6
Tuguegarao (Dom.),cebu,120,126,114,104,122,120,112,116,112,94,106,122,1368
Tuguegarao (Dom.),North Sky,78,54,58,38,58,74,52,6,12,,,18,448
Tuguegarao (Dom.),Echo Air,200,24,128,48,244,102,202,188,74,8,,,1218
Tuguegarao (Dom.),cyclon airways,,,,,6,,,,,,,,6
Tuguegarao (Dom.),WCC Skypasada,66,102,104,78,108,100,134,122,114,128,134,116,1306
Sangley,alphaland aviation,14,42,47,10,32,133,82,104,54,102,82,98,800
Manila,Int'l,7219,8055,7880,7194,8438,8684,8675,8304,8676,8859,8436,8837,99257
Manila,Domestic,13747,13841,14243,13037,14166,13370,14055,13424,14436,14317,13201,14410,166247
Manila,G. Aviation,2425,2397,2327,2070,2611,2348,2185,2104,1742,1825,1547,1752,25333
Busuanga,palex,292,292,320,288,150,318,332,308,328,302,262,288,3480
Busuanga,cebgo,300,304,310,146,83,172,176,165,330,182,318,328,2814
