Airport,AIRLINE OPERATOR,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,TOTAL
Baguio,pal,,"8,407",12914,14905,16686,12340,9464,8129,5097,,5564,7070,100576
Laoag  (Dom. ),cebu,,,,,,,,37062,45731,35023,164345,40921,323082
Laoag  (Dom. ),palex,220640,46685,4046,,,,,,,,,,271371
Laoag  (Dom. ),pal,"15,406","138,149",348213,339474,327544,314239,314740,334042,321113,230308,27025,190909,2901162
Vigan,Platinum skies,3650,1700,1800,2600,650,,,,,,,1600,12000
Basco,palex,35827,37556,39214,33423,46232,44101,40822,55561,45032,37195,36644,28483,480090
Basco,leading edge,,,,,,7028,3810,,,,,,10838
Basco,skypasada,12427,30947,23194,13806,25176,18690,21450,20058,19174,21655,28284,5980,240841
Basco,aats,,,,,,,,,,1779,,1471,3250
Basco,northsky,,,,6117,1668,4844,1685,,,,,,14314
Basco,fliteline,,,,162,,2072,1086,2028,2957,5332,3844,3040,20521
Basco,aerospeed,,,,,,,,,,,1036,,1036
Basco,pamas,,,,20,,,105,,25,,,,150
Cauayan,Cebu Pacific,87666,117592,109509,94594,96369,97687,83660,,113315,91785,71153,42164,1005494
Cauayan,wcc,12792,20320,12793,13885,16351,11485,13001,10772,7030,14708,12254,12966,158357
Cauayan,Cyclone Airways,6493,"3,501",2035,5056,22397,17865,11866,13003,154,,,,82370
Cauayan,aaop,,,,,,,,13916,9925,9634,7401,7909,48785
Cauayan,fliteline,,,,,,,,105,10177,9147,11492,10355,41276
Itbayat,fliteline,,,,,,,,2478,3009,3599,3152,3023,15261
Itbayat,aats,,,,,,,,,828,2486,950,1317,5581
Palanan,northsky,,,,,249,,,,,,,,249
Palanan,wcc/skypasada,12245,33478,28978,32754,18141,12264,23222,103201,14504,16012,11906,14832,321537
Palanan,cyclone,7140,7564,7052,6895,27833,20273,10504,10250,,,,,97511
Palanan,aaop,,,,,,,,7782,7396,8194,6238,6248,35858
Palanan,fliteline,,,,,,,,,10845,9086,10801,8105,38837
Tuguegarao (Dom.),pal,,,,,,,,,,,,3258,3258
Tuguegarao (Dom.),cebu,138422,224351,183312,66510,176423,161904,163092,178323,227626,142298,121683,128782,1912726
Tuguegarao (Dom.),North Sky,9382,6962,7186,8904,10540,12006,8591,,,,,,63571
Tuguegarao (Dom.),WCC Skypasada,12001,13490,16835,11486,17703,12752,15330,13963,14462,12792,10627,10451,161892
Manila,Int'l,33551.61,31845.77,27236.78,28059.83,32313.34,27200.68,27966.03,26118.78,26832.85,26850.4,29144.66,31169.28,348290.01
Manila,Domestic,15555.42,17015.76,14971.5,17092.65,18007.81,14068.32,14070.42,13457.37,12638.97,17135.89,17604.4,21427.66,193046.17
Busuanga,palex,180140,198810,226593,229243,107621,234889,220605,193979,209329,100091,140709,169509,2211518
Busuanga,cebgo,149324,162603,174087,174965,95524,188519,178099,150827,160506,151055,133360,163504,1882373
Busuanga,sunlight express,59036,65426,47565,39196,22398,65538,72661,55246,48425,45374,30392,47302,598559
Busuanga,airswift,32405,38255,32114,35776,15101,52760,54342,50069,34514,46577,18553,51283,461749
Cuyo,world aviation,,,1098,,,,,,,,,,1098
Pto.Princesa ( Dom.),palex,371625,465324,391775,406794,543520,462773,481579,456334,436351,548448,523832,520164,5608519
Pto.Princesa ( Dom.),cebu,"486,601","585,348",381227,377299,559403,548218,431490,532965,47554,649909,664390,692383,5956787
Pto.Princesa ( Dom.),air asia/zest air,361970,314193,359803,384016,225962,343806,425459,493248,283103,349867,400329,465631,4407387
Pto.Princesa ( Dom.),airswift,"38,958","6,718",17226,4377,9381,4493,,110,,,,,81263
Romblon,airswift,8635,6747,8909,11987,12351,14726,11375,11219,7743,9820,7193,8936,119641
San Jose,Cebu Pac,561,114,121,123,165,152,152,149,123,121,171,232,2184
San Vicente,pal,,121,,,,,,,,,,,121
San Vicente,sunlight express,"1,976","4,718",5820,7853,5716,7037,8528,9575,4762,6591,6331,8950,77857
Bicol Int'l,palex,"32,030","32,827",25089,37392,52801,14710,22797,21334,24737,32448,21349,28542,346056
Bicol Int'l,Cebu Pac,9951,7395,16652,11512,26841,30178,21329,24412,27095,16876,35126,30661,258028
Bicol Int'l,Cebgo,"3,350","3,907",3643,3379,4553,5257,5831,7997,8362,5876,5061,4700,61916
Naga,Cebgo,6800,950,,,,,,,7,,,,7757
Virac,cebu,483,937,139,578,794,660,459,652,293,833,708,592,7128
Antique,pal,16740,22098,21270,17033,18686,23408,22376,16454,106804,21960,18522,73146,378497
Antique,Cebgo,707,1968,,,,,,,,,,,2675
Bacolod,cebgo,,,901,1784,1752,1047,1554,1633,2868,1382,70225,6265,89411
Bacolod,palex,"543,091","701,821",598793,426794,562257,521349,599212,232607,644044,639480,540337,614586,6624371
Bacolod,Cebu Pac.,406951,"519,975",386438,358822,380606,334398,316661,303634,442447,423850,296426,496247,4666455
Bacolod,airasia,151717,192308,109959,120750,114366,121887,152149,199780,180204,250164,99008,222432,1914724
Caticlan,pal,277918,,439123,443197,413998,431940,359583,460966,483745,416363,324475,325381,4376689
