Airport,"AIRLINE
OPERATOR",NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,TOTAL
Baguio,pal,,,1413,1521,1585,1316,928,871,620,380,715,829,10178
Laoag (Int'l.),pal,3,965,,,,,,,,,,,968
Laoag  (Dom. ),cebu,,,,,,,,5725,6307,4936,8702,6897,32567
Laoag  (Dom. ),palex,"9,294","2,498",261,,,,,,,,,,12053
Laoag  (Dom. ),pal,604,"5,326",13286,13820,13530,12827,14975,13230,12816,11487,4227,8922,125050
Vigan,Platinum skies,218,179,183,206,42,,,,,,,115,943
Vigan,leading edge aviation,,,,,,,822,1252,552,996,660,2268,6550
Vigan,alpha group aviation,,,,,,,1850,840,1228,680,1700,1740,8038
Vigan,wcc aviation,,,,,,,,52,44,84,124,88,392
Vigan,fly fast aviation,,,,,,,,412,154,194,362,340,1462
Bagabag,wcc/kypasada,,,,,20,4,,8,,,,,32
Bagabag,Echo Air,,,28,,12,8,48,,54,,,,150
Bagabag,cyclone,,,4,,12,,,,,,,,16
Basco,palex,"2,726","3,213",3672,3291,4356,4264,3973,4740,3857,3341,2803,3326,43562
Basco,leading edge,,,,,,652,373,,,,,,1025
Basco,skypasada,312,747,764,550,916,832,957,818,691,709,604,459,8359
Basco,aats,,,,,,,,,,248,,214,462
Basco,northsky,,,,69,13,104,24,,,,,,210
Basco,fliteline,450,370,,34,367,347,149,368,383,573,483,403,3927
Basco,aerospeed,,,,,,,,,,,130,,130
Basco,pamas,,3,,4,,,7,,3,,,,17
Cauayan,Cebu Pacific,9068,9026,9503,10373,9930,9617,8955,9541,9498,8767,8356,8312,110946
Cauayan,Echo Air,66,4,38,2,30,24,12,12,24,,,,212
Cauayan,North Sky Air,,,,,,,,,,,,2,2
Cauayan,wcc,722,966,732,744,614,758,901,603,413,1082,783,794,9112
Cauayan,Cyclone Airways,427,251,341,384,1088,1117,884,1385,10,,,,5887
Cauayan,aaop,,,,,,,,930,727,744,472,406,3279
Cauayan,fliteline,,,,,,,,13,708,682,669,545,2617
Cauayan,Cyclone Flying,8,32,54,108,210,14,,,,,,,426
Itbayat,fliteline,,,,,,,,326,455,543,469,405,2198
Itbayat,aats,,,,,,,,327,116,253,131,237,1064
Palanan,wcc/skypasada,396,926,739,716,500,532,680,681,552,1771,491,529,8513
Palanan,cyclone,200,263,335,300,671,542,362,345,,,,,3018
Palanan,aaop,,,,,,,,586,480,609,409,394,2478
Palanan,fliteline,,,,,,,,,358,301,331,188,1178
Tuguegarao (Dom.),pal,,,,,,,,,,,,587,587
Tuguegarao (Dom.),cebu,16081,17976,15767,15010,18322,18090,17607,18652,18045,14376,14603,16556,201085
Tuguegarao (Dom.),North Sky,292,250,214,130,206,398,271,,,,,9,1770
Tuguegarao (Dom.),WCC Skypasada,578,856,980,734,1087,1100,1128,1203,1150,1057,887,688,11448
Sangley,alphaland aviation,274,,958,59,,,1305,1808,666,1852,1083,1493,9498
Sangley,chartered,,,,,,,,,,77,,126,203
Manila,Int'l,1256150,1483993,1618607,1449940,1629512,1679230,1641795,1748414,1907842,1796312,1557746,1664254,19433795
Manila,Domestic,1845596,2139825,2147012,1919531,2095585,1989864,2168102,2131896,2280201,2157310,1827533,1978098,24680553
Manila,G. Aviation,1393,2325,3315,2955,5079,4936,3073,4493,1288,841,1160,1242,32100
Busuanga,palex,17710,18880,23451,21688,10574,21099,21315,20919,23091,20002,17130,18579,234438
Busuanga,cebgo,18891,19043,20174,20124,10023,22250,21868,19881,22499,20948,18064,21299,235064
Busuanga,skyjet,,,,,,,,,,,,,0
