id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
#meta +id,#meta +code,#loc +airport +type,#loc +airport +name,#geo +lat,#geo +lon,#geo +elevation +ft,#region +continent +code,#country +name,#country +code +iso2,#adm1 +name,#adm1 +code +iso,#adm1 +code +local,#loc +municipality +name,#status +scheduled,#loc +airport +code +gps,#loc +airport +code +iata,#loc +airport +code +local,#meta +url +airport,#meta +url +wikipedia,#meta +keywords,#meta +score,#date +updated
5689,RPLL,large_airport,Ninoy Aquino International Airport,14.5086,121.019997,75,AS,Philippines,PH,National Capital Region (Metropolitan Manila),PH-00,0,Manila (Pasay),1,RPLL,MNL,,,https://en.wikipedia.org/wiki/Ninoy_Aquino_International_Airport,"Manila International Airport, Jesus Villamor Air Base",1014275,2024-10-22T12:05:24+00:00
5742,RPVM,large_airport,Mactan Cebu International Airport,10.309261,123.97974,31,AS,Philippines,PH,Cebu Province,PH-CEB,CEB,Lapu-Lapu City,1,RPVM,CEB,,http://www.mactan-cebuairport.com.ph/,https://en.wikipedia.org/wiki/Mactan-Cebu_International_Airport,"Mactan Air Base, Opon Airfield",1275,2022-11-08T01:21:42+00:00
5687,RPLC,medium_airport,Clark International Airport / Clark Air Base,15.186,120.559998,484,AS,Philippines,PH,Pampanga Province,PH-PAM,PAM,Mabalacat,1,RPLC,CRK,,http://www.clarkairport.com/,https://en.wikipedia.org/wiki/Clark_International_Airport,"Diosdado Macapagal International Airport, Paliparang Pandaigdig ng Diosdado Macapagal, Pangyatung Sulapawan ning Clark, Paliparang Pandaigdig ng Clark",750,2022-09-22T20:07:02+00:00
5741,RPVK,medium_airport,Kalibo International Airport,11.67940044,122.3759995,14,AS,Philippines,PH,Aklan Province,PH-AKL,AKL,Kalibo,1,RPVK,KLO,,,https://en.wikipedia.org/wiki/Kalibo_International_Airport,,750,2010-09-08T22:32:54+00:00
5686,RPLB,medium_airport,Subic Bay International Airport / Naval Air Station Cubi Point,14.7944,120.271004,64,AS,Philippines,PH,Zambales Province,PH-ZMB,ZMB,Olongapo,1,RPLB,SFS,,,https://en.wikipedia.org/wiki/Subic_Bay_International_Airport,"Paliparang Pandaigdig ng Look ng Subic, Naval Air Station Cubi Point",750,2020-10-15T11:15:53+00:00
5736,RPVE,medium_airport,Godofredo P. Ramos Airport,11.9245,121.954002,7,AS,Philippines,PH,Aklan Province,PH-AKL,AKL,Caticlan,1,RPVE,MPH,,,https://en.wikipedia.org/wiki/Godofredo_P._Ramos_Airport,Godofredo P. Ramos Airport,750,2024-04-06T17:04:01+00:00
5744,RPVP,medium_airport,Puerto Princesa International Airport / PAF Antonio Bautista Air Base,9.74212,118.759003,71,AS,Philippines,PH,Palawan Province,PH-PLW,PLW,Puerto Princesa,1,RPVP,PPS,,,https://en.wikipedia.org/wiki/Puerto_Princesa_Airport,,750,2023-12-03T21:46:37+00:00
5747,RPVT,closed,Tagbilaran Airport,9.665442,123.853533,38,AS,Philippines,PH,Bohol Province,PH-BOH,BOH,Tagbilaran City,0,,,,,https://en.wikipedia.org/wiki/Tagbilaran_Airport,"RPVT, TAG",800,2022-09-26T00:17:33+00:00
5697,RPMD,large_airport,Francisco Bangoy International Airport,7.12552,125.646004,96,AS,Philippines,PH,Davao del Sur Province,PH-DAS,DAS,Davao,1,RPMD,DVO,,,https://en.wikipedia.org/wiki/Francisco_Bangoy_International_Airport,Davao International Airport,1275,2020-12-31T12:15:53+00:00
5688,RPLI,medium_airport,Laoag International Airport,18.176121,120.531034,25,AS,Philippines,PH,Ilocos Norte Province,PH-ILN,ILN,Laoag City,1,RPLI,LAO,,,https://en.wikipedia.org/wiki/Laoag_International_Airport,"Gabu Airfield, Laoag Airfield",750,2022-11-08T01:36:08+00:00
5726,RPUS,medium_airport,San Fernando Airport,16.59560013,120.3030014,13,AS,Philippines,PH,La Union Province,PH-LUN,LUN,,1,RPUS,SFE,,,https://en.wikipedia.org/wiki/San_Fernando_Airport,,750,2008-06-13T14:30:04+00:00
5718,RPUG,small_airport,Lingayen Airport,16.034966,120.242191,7,AS,Philippines,PH,Pangasinan Province,PH-PAN,PAN,Lingayen,0,RPUG,,,,https://en.wikipedia.org/wiki/Lingayen_Airport,,50,2024-05-18T21:31:19+00:00
5690,RPLP,closed,Legazpi City International Airport,13.1575,123.735,66,AS,Philippines,PH,Albay Province,PH-ALB,ALB,Legazpi City,1,,,,,https://en.wikipedia.org/wiki/Legazpi_Airport,"LGP, RPLP",750,2023-04-11T13:21:25+00:00
31007,PH-ENI,small_airport,El Nido Airport,11.202399,119.416087,,AS,Philippines,PH,Palawan Province,PH-PLW,PLW,El Nido,1,RPEN,ENI,,,https://en.wikipedia.org/wiki/El_Nido_Airport,El Nido,150,2018-05-02T10:27:18+00:00
5715,RPUB,medium_airport,Loakan Airport,16.37509918,120.6200027,4251,AS,Philippines,PH,Benguet Province,PH-BEN,BEN,Baguio City,1,RPUB,BAG,,,https://en.wikipedia.org/wiki/Loakan_Airport,Baguio Airport,750,2009-02-04T10:32:52+00:00
5698,RPME,medium_airport,Bancasi Airport,8.9515,125.4788,141,AS,Philippines,PH,Agusan del Norte Province,PH-AGN,AGN,Butuan,1,RPME,BXU,,,https://en.wikipedia.org/wiki/Bancasi_Airport,,750,2022-03-18T12:34:43+00:00
5735,RPVD,medium_airport,Sibulan Airport,9.334183,123.30191,15,AS,Philippines,PH,Negros Oriental Province,PH-NER,NER,Dumaguete City,1,RPVD,DGT,,https://dumaguete.com/dumaguete-airport-sibulan/,https://en.wikipedia.org/wiki/Sibulan_Airport,,500,2022-08-27T12:52:13+00:00
32230,RPUX,small_airport,Plaridel Airport,14.890855,120.852914,20,AS,Philippines,PH,Bulacan Province,PH-BUL,BUL,Plaridel,0,RPUX,,,,https://en.wikipedia.org/wiki/Plaridel_Airport,Plaridel,50,2020-10-21T13:48:09+00:00
5724,RPUQ,small_airport,Vigan Airport,17.55529976,120.3560028,16,AS,Philippines,PH,Ilocos Sur Province,PH-ILS,ILS,Vigan City,0,RPUQ,,,,https://en.wikipedia.org/wiki/Mindoro_Airport,,50,2008-06-13T14:30:04+00:00
